"","CÓDIGO MONTE SENDAS","Nº PARCELA","CÓDIGO ESPECIE","HD","DS1","DS2","DI1","DI2","DN1","DN2","COR1","COR2","LR1","NR","DR1","CRE1","CRE2","HT","HF","DCO1","DCO2","DN"
"193",112,211,32,NA,NA,NA,NA,NA,48,44,NA,NA,NA,NA,NA,NA,NA,10.5,4,6.9,8.3,46
"194",112,212,32,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,1.7,1.8,8.5
"195",112,212,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,6,2.5,3,3.7,12
"196",112,213,32,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,4.5,1,3.1,4.7,13.5
"197",112,213,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,5,0.5,4.2,5.4,14.5
"198",112,215,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,3,0.5,3.7,3.7,10
"199",112,216,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,4,0.5,3.2,3.6,9.5
"200",112,220,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2.9,8
"201",112,220,32,NA,NA,NA,NA,NA,23,21,NA,NA,NA,NA,NA,NA,NA,7.5,2,4.2,5.2,22
"207",112,227,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,5.5,1.7,2.8,2.5,9
"208",112,229,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,4,0.8,3.5,3.7,12
"209",112,230,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,3.6,2.9,9.5
"210",112,230,32,NA,NA,NA,NA,NA,54,53,NA,NA,NA,NA,NA,NA,NA,12,4,6.2,4.1,53.5
"211",112,231,32,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,5,0.5,3.1,3.4,11.5
"212",112,231,32,NA,NA,NA,NA,NA,58,58,NA,NA,NA,NA,NA,NA,NA,12.5,1.5,9.3,9.8,58
"213",112,232,32,NA,NA,NA,NA,NA,41,40,NA,NA,NA,NA,NA,NA,NA,11.5,2.5,6.8,5.5,40.5
"214",112,232,32,NA,NA,NA,NA,NA,45,45,NA,NA,NA,NA,NA,NA,NA,13,2,6.2,6.3,45
"215",112,235,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,3,0.5,2.8,3.1,11
"216",112,240,32,NA,NA,NA,NA,NA,30,31,NA,NA,NA,NA,NA,NA,NA,7,2,6,5.1,30.5
"217",112,243,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,10,3,3.2,3.7,15
"218",112,243,32,NA,NA,NA,NA,NA,20,19,NA,NA,NA,NA,NA,NA,NA,11,6,3.7,2.8,19.5
"221",112,250,32,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,4,NA,2.7,2.4,11.5
"222",112,251,32,NA,NA,NA,NA,NA,43,46,NA,NA,NA,NA,NA,NA,NA,8.5,0.5,8.8,4.8,44.5
"223",112,252,32,NA,NA,NA,NA,NA,58,66,NA,NA,NA,NA,NA,NA,NA,9.5,2,10.9,9.9,62
"224",112,258,32,NA,NA,NA,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA,8,NA,3.9,4,26
"225",112,259,32,NA,NA,NA,NA,NA,18,17,NA,NA,NA,NA,NA,NA,NA,5,0.5,4.4,3.9,17.5
"226",112,259,32,NA,NA,NA,NA,NA,27,25,NA,NA,NA,NA,NA,NA,NA,5,2,2.9,4.7,26
"227",112,262,32,NA,NA,NA,NA,NA,21,20,NA,NA,NA,NA,NA,NA,NA,9.5,4.5,5.8,6.1,20.5
"228",112,263,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,3.5,0.4,3.1,3,10
"229",112,263,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,9,0.4,3.2,3.6,14.5
"230",112,265,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,7,1.5,5.3,5,17
"231",112,266,32,NA,NA,NA,NA,NA,44,49,NA,NA,NA,NA,NA,NA,NA,11,2,6.4,7.3,46.5
"232",112,270,32,NA,NA,NA,NA,NA,42,43,NA,NA,NA,NA,NA,NA,NA,12.5,1.5,8,6.1,42.5
"233",112,277,32,NA,NA,NA,NA,NA,60,55,NA,NA,NA,NA,NA,NA,NA,7,1.2,8.2,8.3,57.5
"234",112,277,32,NA,NA,NA,NA,NA,36,37,NA,NA,NA,NA,NA,NA,NA,3,0.5,7.6,6.6,36.5
"235",112,278,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,1.7,1.8,2.4,8
"236",112,278,32,NA,NA,NA,NA,NA,47,62,NA,NA,NA,NA,NA,NA,NA,12,1.5,7,6.5,54.5
"237",112,279,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,2.1,2,8
"240",112,283,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4.5,1,4.4,3.8,13
"242",112,285,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,5.5,3,2.6,2.9,8
"243",112,286,32,NA,NA,NA,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,6,1.3,4.5,4.6,23
"244",112,286,32,NA,NA,NA,NA,NA,17,16,NA,NA,NA,NA,NA,NA,NA,5,0.3,4,4,16.5
"245",112,287,32,NA,NA,NA,NA,NA,22,27,NA,NA,NA,NA,NA,NA,NA,5.5,1.3,6.2,4.5,24.5
"246",112,287,32,NA,NA,NA,NA,NA,39,32,NA,NA,NA,NA,NA,NA,NA,5,1,6.5,3.7,35.5
