"","CÓDIGO MONTE SENDAS","Nº PARCELA","CÓDIGO ESPECIE","HD","DS1","DS2","DI1","DI2","DN1","DN2","COR1","COR2","LR1","NR","DR1","CRE1","CRE2","HT","HF","DCO1","DCO2","DN"
"459",112,237,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,4.5,1,4.8,4.1,18
"462",112,242,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,8,2,4.3,3.5,15.5
"463",112,242,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,0.4,3.5,3.6,8
"466",112,258,32,NA,NA,NA,NA,NA,41,41,NA,NA,NA,NA,NA,NA,NA,8,4,5.8,5.8,41
"468",112,262,32,NA,NA,NA,NA,NA,27,24,NA,NA,NA,NA,NA,NA,NA,6,1.2,5.5,3.6,25.5
"469",112,266,32,NA,NA,NA,NA,NA,42,45,NA,NA,NA,NA,NA,NA,NA,13,2,5.5,5.6,43.5
"471",112,296,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,6,0.3,3,3.9,14.5
"472",112,299,32,NA,NA,NA,NA,NA,19,18,NA,NA,NA,NA,NA,NA,NA,6,1.5,2.7,3.5,18.5
"474",112,304,32,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,6,1.8,3.3,3.9,13.5
"475",112,316,32,NA,NA,NA,NA,NA,19,18,NA,NA,NA,NA,NA,NA,NA,5.5,0.4,4.6,5.2,18.5
"476",112,316,32,NA,NA,NA,NA,NA,21,22,NA,NA,NA,NA,NA,NA,NA,6,0.2,3.7,4,21.5
"477",112,320,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,2.5,NA,1.9,2.3,8
"478",112,324,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,7,2,4.5,4.8,16
"481",112,328,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,7,0.5,4.2,4.8,15
"482",112,332,32,NA,NA,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,6,NA,3.2,3.3,12.5
"485",112,338,32,NA,NA,NA,NA,NA,14,13,NA,NA,NA,NA,NA,NA,NA,3.5,NA,2,3.1,13.5
"486",112,339,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2.2,2.4,8
"487",112,341,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6,1,3.4,2.7,18
"488",112,342,32,NA,NA,NA,NA,NA,29,29,NA,NA,NA,NA,NA,NA,NA,8.5,2,4,4.2,29
"489",112,343,32,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,6.5,NA,3.2,3.3,17.5
"490",112,343,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,3,NA,3.8,4.2,9.5
"491",112,343,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,3,NA,3.3,3.3,9.5
"492",112,345,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,5.5,1,3.7,5.7,14
"493",112,348,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,8,4,2.5,3,18
"494",112,348,32,NA,NA,NA,NA,NA,33,32,NA,NA,NA,NA,NA,NA,NA,10.5,1.8,4.9,5.2,32.5
"496",112,353,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,8.5,1.5,3.2,3.1,12
"497",112,356,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,4,1,3.1,2.6,18
"498",112,363,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,2.5,2.6,17
"500",112,365,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,6,NA,3.9,3.8,16
"501",112,366,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,1,2.8,2.3,9
"502",112,366,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1,2.7,3.1,8
"503",112,368,32,NA,NA,NA,NA,NA,52,51,NA,NA,NA,NA,NA,NA,NA,14,3.5,8.9,8,51.5
"504",112,370,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,5,0.2,2.7,3.2,15
"505",112,373,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,4.5,0.2,3,4.4,11
"506",112,373,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,2.8,2.8,8
"508",112,385,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,5,1,4.1,4.7,18
"509",112,389,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,3,NA,2.4,1.5,9.5
"510",112,392,32,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3.1,3.5,11.5
"511",112,394,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4,NA,3.5,3.6,10
"512",112,394,32,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,4,NA,2.4,3.1,8.5
"514",112,176,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,4.3,4.5,18
"515",112,402,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,6,1,4.3,3.8,14
"516",112,406,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4.5,0.4,2,2.4,10
"518",112,185,32,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,8,2.5,5.5,5.2,18.5
"519",112,219,32,NA,NA,NA,NA,NA,14,15,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,3.5,3.1,14.5
"520",112,238,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,3,0.4,2.8,2.3,11
"521",112,302,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,3.8,3.9,17
"522",112,323,32,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,6,NA,3.4,3.3,13.5
"523",112,344,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,3.7,3.1,10
"524",112,347,32,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,7.5,0.5,2.9,2.5,17.5
"525",112,350,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,7,3.5,4.5,5.5,14
"528",112,401,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,9,1.5,3.7,4.5,18
"529",112,401,32,NA,NA,NA,NA,NA,20,21,NA,NA,NA,NA,NA,NA,NA,6,NA,5.3,4.5,20.5
"530",112,404,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,5.5,NA,3.7,3.8,15.5
"531",112,413,32,NA,NA,NA,NA,NA,36,37,NA,NA,NA,NA,NA,NA,NA,11,6,4.1,4.5,36.5
"532",112,436,32,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,5,2,3.6,3.8,10.5
"533",112,436,32,NA,NA,NA,NA,NA,19,22,NA,NA,NA,NA,NA,NA,NA,5.5,3,4.1,4.1,20.5
"534",112,449,32,NA,NA,NA,NA,NA,53,48,NA,NA,NA,NA,NA,NA,NA,12,7.5,4.8,5.7,50.5
"535",112,450,32,NA,NA,NA,NA,NA,18,17,NA,NA,NA,NA,NA,NA,NA,6.5,2,4.8,5.1,17.5
"536",112,450,32,NA,NA,NA,NA,NA,19,20,NA,NA,NA,NA,NA,NA,NA,11,6,2.1,4.5,19.5
"537",112,452,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,3,0.2,2.7,2,10
"538",112,452,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,3,0.2,3.5,3.7,11
"539",112,453,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,4,1,3.5,4.1,14
"540",112,453,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,0.2,3.4,3.5,9
"541",112,457,32,NA,NA,NA,NA,NA,13,15,NA,NA,NA,NA,NA,NA,NA,6,0.5,3.5,3,14
"542",112,458,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,6.5,NA,4.3,3.5,19
"545",112,461,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,6,1.8,2.5,2.2,10
"546",112,463,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1.3,3.1,2.9,8
"547",112,463,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,6,2.3,3.4,4,10
"548",112,464,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4.5,2.3,2.8,4,8
"549",112,417,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1.4,3.6,2.5,8
"588",112,154,32,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,5,2,3.3,3,8.5
"592",112,410,32,NA,NA,NA,NA,NA,23,22,NA,NA,NA,NA,NA,NA,NA,8.5,6,5.8,5.1,22.5
"594",112,422,32,NA,NA,NA,NA,NA,28,28,NA,NA,NA,NA,NA,NA,NA,13.5,4,5,4.1,28
"595",112,426,32,NA,NA,NA,NA,NA,26,25,NA,NA,NA,NA,NA,NA,NA,8,2,5.7,4.2,25.5
"596",112,426,32,NA,NA,NA,NA,NA,24,25,NA,NA,NA,NA,NA,NA,NA,8,1.5,5.4,4.6,24.5
"597",112,428,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,9.5,2.5,4.6,3.3,21
"598",112,439,32,NA,NA,NA,NA,NA,23,22,NA,NA,NA,NA,NA,NA,NA,9,3.5,4.6,4.2,22.5
"621",112,134,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,5,0.5,4.8,4,12
"623",112,145,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,7,0.5,3.2,4.6,14
"624",112,145,32,NA,NA,NA,NA,NA,20,23,NA,NA,NA,NA,NA,NA,NA,8,2,5.2,4.3,21.5
"625",112,234,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,7,1,2.8,4.1,13
"626",112,408,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,7,2.5,2.1,3.5,15
"627",112,415,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,6,0.5,2.6,2.9,9
"628",112,416,32,NA,NA,NA,NA,NA,45,46,NA,NA,NA,NA,NA,NA,NA,11,2,6.2,6.7,45.5
"629",112,431,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,7,1.3,2.9,4.5,18
"630",112,433,32,NA,NA,NA,NA,NA,20,19,NA,NA,NA,NA,NA,NA,NA,5.5,2,5.2,4.4,19.5
"631",112,433,32,NA,NA,NA,NA,NA,24,22,NA,NA,NA,NA,NA,NA,NA,11.5,3.5,3.3,5.9,23
"632",112,440,32,NA,NA,NA,NA,NA,23,24,NA,NA,NA,NA,NA,NA,NA,10.5,1,6.4,6.1,23.5
"633",112,442,32,NA,NA,NA,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,10,1.5,6.4,5.9,23
"634",112,443,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,5.5,1,4.2,3.2,16
"635",112,448,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,4.5,1,4.8,5,19
"641",112,175,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,6,3,3.6,3.1,11
"642",112,179,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,5.5,0.5,3.1,2.9,13
"643",112,182,32,NA,NA,NA,NA,NA,34,29,NA,NA,NA,NA,NA,NA,NA,4.5,2.2,5.5,6.7,31.5
"647",112,195,32,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,9,3.5,6.6,5.4,17.5
"648",112,200,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,6.5,4.5,1.9,2.8,16
"649",112,201,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,5,1.7,3.2,3.4,15.5
"653",112,206,32,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,NA,NA,NA,12,2,7,8.2,63
"654",112,206,32,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,5.5,0.5,3.9,3.5,11.5
"655",112,207,32,NA,NA,NA,NA,NA,66,60,NA,NA,NA,NA,NA,NA,NA,15,1.7,8.8,10.5,63
"656",112,208,32,NA,NA,NA,NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,12,2.5,6.4,6.6,47
"657",112,212,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,1.3,1.5,1.6,8
"658",112,216,32,NA,NA,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,6.5,5,2.1,2.2,9.5
"659",112,217,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,5,NA,2.3,2.6,12
"660",112,230,32,NA,NA,NA,NA,NA,67,67,NA,NA,NA,NA,NA,NA,NA,18.5,2,7,9.8,67
"661",112,231,32,NA,NA,NA,NA,NA,67,68,NA,NA,NA,NA,NA,NA,NA,13.5,1,8.1,9.2,67.5
"662",112,233,32,NA,NA,NA,NA,NA,25,24,NA,NA,NA,NA,NA,NA,NA,10,3.5,4.4,5.1,24.5
"664",112,240,32,NA,NA,NA,NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,11,3,7.6,7.2,47
"666",112,248,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,3.5,1,2.8,3.3,17
"667",112,249,32,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,3,0,2.6,3.9,11.5
"668",112,252,32,NA,NA,NA,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA,10,8,2.8,2.5,26
"672",112,263,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,5.5,0.5,5,5.2,21
"673",112,265,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,8,1.5,3.5,3.5,19
"674",112,265,32,NA,NA,NA,NA,NA,19,18,NA,NA,NA,NA,NA,NA,NA,8,3,3.6,3.4,18.5
"675",112,275,32,NA,NA,NA,NA,NA,40,39,NA,NA,NA,NA,NA,NA,NA,9,1.5,6.1,6.8,39.5
"676",112,280,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,4.5,NA,4,3.6,14
"677",112,282,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,4.5,NA,4.6,4.6,16
"678",112,287,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,2.5,1.7,2.2,3,12
"679",112,290,32,NA,NA,NA,NA,NA,34,34,NA,NA,NA,NA,NA,NA,NA,6.5,1.5,7.2,4.9,34
"680",112,291,32,NA,NA,NA,NA,NA,62,58,NA,NA,NA,NA,NA,NA,NA,13,2,10.1,9.8,60
"681",112,292,32,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,3,NA,2.8,2.3,10.5
"682",112,294,32,NA,NA,NA,NA,NA,22,22,NA,NA,NA,NA,NA,NA,NA,8,0.7,4,4.2,22
"683",112,295,32,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,NA,NA,10,0.3,5.4,7.1,24
"684",112,298,32,NA,NA,NA,NA,NA,26,25,NA,NA,NA,NA,NA,NA,NA,6,NA,4.9,4.6,25.5
"685",112,300,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,5,0.5,3.2,4.1,15.5
"686",112,301,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4,1,3.3,3.1,13
"687",112,304,32,NA,NA,NA,NA,NA,23,21,NA,NA,NA,NA,NA,NA,NA,10.5,4,4,3.5,22
"688",112,314,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,2,0.4,3.2,3.3,9
"689",112,315,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,4,0.3,3.9,3.7,11
"690",112,315,32,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,6,0.2,4.4,3.7,20
"691",112,321,32,NA,NA,NA,NA,NA,34,33,NA,NA,NA,NA,NA,NA,NA,6.5,2,6.6,6.5,33.5
"692",112,325,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,8,1.5,3.2,4.3,19
"696",112,335,32,NA,NA,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,6.5,0.7,4.4,3.4,17
"697",112,337,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,5.5,0.5,3,3,13
"698",112,343,32,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,6,NA,2.5,3.5,12.5
"699",112,345,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,1.5,2,2.3,8
"701",112,356,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,6,1.5,5,3.7,11
"702",112,362,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,2.9,2.1,8
"703",112,365,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4,NA,2.8,2.4,10
"705",112,369,32,NA,NA,NA,NA,NA,34,35,NA,NA,NA,NA,NA,NA,NA,6,3.5,5.4,5.3,34.5
"706",112,373,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,NA,3.3,2.6,9
"707",112,385,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1,3,2.3,8
"708",112,385,32,NA,NA,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,6,1.5,4.6,3,17
"709",112,389,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2.2,1.8,8
"710",112,391,32,NA,NA,NA,NA,NA,20,17,NA,NA,NA,NA,NA,NA,NA,7,NA,2.6,3.4,18.5
"711",112,392,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,4,NA,3.4,4.2,14.5
"712",112,392,32,NA,NA,NA,NA,NA,14,16,NA,NA,NA,NA,NA,NA,NA,6,NA,2.6,3.1,15
"713",112,395,32,NA,NA,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,5,5,3.8,4.8,12.5
"714",112,396,32,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,4,1.5,5.4,3.8,13.5
"715",112,396,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3.7,3,10
"717",112,405,32,NA,NA,NA,NA,NA,40,43,NA,NA,NA,NA,NA,NA,NA,13.5,4.5,7.1,6.3,41.5
"718",112,406,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,6,1.3,2.8,3,10
"719",112,407,32,NA,NA,NA,NA,NA,39,42,NA,NA,NA,NA,NA,NA,NA,11.5,1.5,7.9,8.4,40.5
"720",112,414,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,7,4,3.2,2.7,13
"723",112,185,32,NA,NA,NA,NA,NA,45,45,NA,NA,NA,NA,NA,NA,NA,9.5,2.5,7.4,5,45
"724",112,238,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,4,0.7,3.6,2.2,14.5
"725",112,350,32,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,NA,NA,8.5,2.5,4.6,6,36
"726",112,437,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,5,1.5,2.7,3.5,10
"727",112,437,32,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,5.5,2,2.6,4.5,10.5
"728",112,444,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6,NA,3.5,5,18
"729",112,446,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4,NA,2.8,2.4,10
"730",112,449,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3,1,2.6,3.1,9
"731",112,458,32,NA,NA,NA,NA,NA,18,15,NA,NA,NA,NA,NA,NA,NA,4,NA,6.3,5.2,16.5
"732",112,460,32,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3.5,4.8,17.5
"733",112,465,32,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,6.5,2,4.1,4.2,18.5
"734",112,417,32,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,5,3,3.4,4,11.5
"791",112,276,32,NA,NA,NA,NA,NA,45,50,NA,NA,NA,NA,NA,NA,NA,9.5,1.6,7.2,5.8,47.5
"793",112,410,32,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,6,4,3.8,3.2,10.5
"794",112,411,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4.5,2,2.9,3.1,10
"795",112,418,32,NA,NA,NA,NA,NA,32,29,NA,NA,NA,NA,NA,NA,NA,8.5,7,7,6.7,30.5
"797",112,422,32,NA,NA,NA,NA,NA,25,26,NA,NA,NA,NA,NA,NA,NA,7,2,5.5,5.5,25.5
"798",112,423,32,NA,NA,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,11.5,1.5,9.5,9,50
"799",112,424,32,NA,NA,NA,NA,NA,47,41,NA,NA,NA,NA,NA,NA,NA,12.5,2,9.5,6.1,44
"800",112,425,32,NA,NA,NA,NA,NA,32,30,NA,NA,NA,NA,NA,NA,NA,11,0.5,6.4,6.9,31
"801",112,426,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4,1.5,2.6,2.8,10
"802",112,426,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,6.5,2,3.2,3.1,13
"804",112,428,32,NA,NA,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,8,2,3.5,3.8,17
"805",112,428,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,5.5,2,3.5,2.1,10
"806",112,438,32,NA,NA,NA,NA,NA,28,28,NA,NA,NA,NA,NA,NA,NA,9,3,4.6,4.3,28
"807",112,439,32,NA,NA,NA,NA,NA,24,25,NA,NA,NA,NA,NA,NA,NA,8,2,5.8,5.9,24.5
"808",112,467,32,NA,NA,NA,NA,NA,17,15,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3.6,2.9,16
"821",112,120,32,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,5,1.3,5.4,4.6,8.5
"825",112,136,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,3.5,3.1,9
"827",112,214,32,NA,NA,NA,NA,NA,38,39,NA,NA,NA,NA,NA,NA,NA,9,4,5.2,5.3,38.5
"828",112,214,32,NA,NA,NA,NA,NA,29,29,NA,NA,NA,NA,NA,NA,NA,6,3.5,5.9,5.5,29
"829",112,214,32,NA,NA,NA,NA,NA,31,26,NA,NA,NA,NA,NA,NA,NA,7,2.5,4.5,5.5,28.5
"830",112,408,32,NA,NA,NA,NA,NA,35,36,NA,NA,NA,NA,NA,NA,NA,9.5,2.5,7,6.7,35.5
"831",112,415,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6.5,2,4.6,5.4,18
"832",112,415,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,7.5,2.5,3.4,3.6,14
"833",112,432,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,6,0.8,5.8,5.6,21
"834",112,435,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,8.5,4.5,1.5,2.5,12
"835",112,441,32,NA,NA,NA,NA,NA,35,35,NA,NA,NA,NA,NA,NA,NA,6,NA,7.1,6.7,35
"836",112,442,32,NA,NA,NA,NA,NA,22,25,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,4.8,5.4,23.5
"837",112,442,32,NA,NA,NA,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,5,0.5,6.2,5.7,23
"838",112,445,32,NA,NA,NA,NA,NA,17,16,NA,NA,NA,NA,NA,NA,NA,6.5,NA,4.6,3.5,16.5
"839",112,445,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,NA,2.9,1.8,9
"840",112,448,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,5.5,1.7,2.3,3.4,11
"841",112,454,32,NA,NA,NA,NA,NA,46,46,NA,NA,NA,NA,NA,NA,NA,15,3.5,6.8,7,46
"848",112,172,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,5.5,0.5,4,4.4,13
"849",112,175,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,6,4,2.2,2,9
"852",112,182,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,5,1,2.8,3.1,15
"855",112,190,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,5,1,4.4,5.2,12
"857",112,193,32,NA,NA,NA,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,11,1.5,2.9,4.3,23
"858",112,197,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,3.1,3.1,9
"859",112,198,32,NA,NA,NA,NA,NA,32,31,NA,NA,NA,NA,NA,NA,NA,9.5,1.5,6.6,6.8,31.5
"861",112,203,32,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,5,NA,3.3,3.2,14
"862",112,207,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,7.5,1.3,3.2,3.6,19
"863",112,210,32,NA,NA,NA,NA,NA,28,28,NA,NA,NA,NA,NA,NA,NA,8.5,3.5,4.3,4,28
"864",112,210,32,NA,NA,NA,NA,NA,40,39,NA,NA,NA,NA,NA,NA,NA,7.5,1.2,5.8,4.6,39.5
"865",112,210,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,6.5,1.7,4,3.8,21
"866",112,211,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,9.5,6.5,3.2,2.8,15.5
